customer_id,customer_name,city,dob,effective_date,expiry_date,current_flag
c001,Customer_001,Bengaluru,2001-06-04T00:00:00.000Z,2025-01-01T00:00:00.000Z,,1
c002,Customer_002,Hyderabad,2003-09-28T00:00:00.000Z,2025-01-01T00:00:00.000Z,2025-10-23 00:00:00,0
c002,Customer_002_Upd,Kochi,2003-09-28T00:00:00.000Z,2025-10-23T00:00:00.000Z,,1
c003,Customer_003,Chennai,1996-08-26T00:00:00.000Z,2025-01-01T00:00:00.000Z,,1
c004,Customer_004,Coimbatore,1990-05-29T00:00:00.000Z,2025-01-01T00:00:00.000Z,,1
c005,Customer_005,Bengaluru,1997-03-02T00:00:00.000Z,2025-01-01T00:00:00.000Z,,1
c006,Customer_006,Coimbatore,1984-05-19T00:00:00.000Z,2025-01-01T00:00:00.000Z,,1
c007,Customer_007,Chennai,1985-04-28T00:00:00.000Z,2025-01-01T00:00:00.000Z,2025-10-23 00:00:00,0
c007,Customer_007_Upd,Bengaluru,1985-03-30T00:00:00.000Z,2025-10-23T00:00:00.000Z,,1
c008,Customer_008,Mumbai,1996-11-04T00:00:00.000Z,2025-01-01T00:00:00.000Z,2025-10-23 00:00:00,0
c008,Customer_008,Bengaluru,1996-11-14T00:00:00.000Z,2025-10-23T00:00:00.000Z,,1
c009,Customer_009,Bengaluru,1998-06-15T00:00:00.000Z,2025-01-01T00:00:00.000Z,2025-10-23 00:00:00,0
c009,Customer_009,Hyderabad,1998-07-25T00:00:00.000Z,2025-10-23T00:00:00.000Z,,1
c010,Customer_010,Chennai,1981-04-01T00:00:00.000Z,2025-01-01T00:00:00.000Z,2025-10-23 00:00:00,0
c010,Customer_010,Pune,1981-04-01T00:00:00.000Z,2025-10-23T00:00:00.000Z,,1
